Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:28800_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:1_MessageStatsReport.txt
Ignoring existing simulation:  /root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:5M_endTime:28800_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:1M_tRange:80_seed:1_MessageStatsReport.txt
/root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:28800_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:1M_tRange:80_seed:1_MessageStatsReport.txt does not exist. Simulating...
Setting values: {'Group.router': 'EpidemicRouter', 'Group.bufferSize': '1000G', 'Group.msgTtl': '400', 'Events1.size': '1M', 'MovementModel.warmup': '18000', 'Scenario.endTime': '28800', 'Events1.interval': '1', 'Scenario.updateInterval': '0.1', 'ProphetV2Router.beta': '0.9', 'ProphetV2Router.gamma': '0.999885791', 'btInterface.transmitSpeed': '1M', 'btInterface.transmitRange': '80', 'MovementModel.rngSeed': '1'}
['./one.sh', '-b', '1', 'helsinki1True_settings.txt']
Percent: 3/12
Run 1/1
11 in line defined by file data/helsinki1True/1_schedule.csv
10 in line defined by file data/helsinki1True/2_schedule.csv
10 in line defined by file data/helsinki1True/3_schedule.csv
16 in line defined by file data/helsinki1True/4_schedule.csv
15 in line defined by file data/helsinki1True/6T_schedule.csv
18 in line defined by file data/helsinki1True/7_schedule.csv
12 in line defined by file data/helsinki1True/8_schedule.csv
11 in line defined by file data/helsinki1True/9_schedule.csv
13 in line defined by file data/helsinki1True/10_schedule.csv
Running simulation 'helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:28800_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:1M_tRange:80_seed:1'
60.0 2364: 39.40 1/s
120.0 3036: 11.19 1/s
180.0 3460: 7.07 1/s
240.0 3801: 5.69 1/s
300.0 4085: 4.73 1/s
360.1 4330: 4.08 1/s
420.1 4569: 3.99 1/s
480.1 4780: 3.52 1/s
540.1 4988: 3.46 1/s
600.1 5189: 3.35 1/s
660.1 5361: 2.86 1/s
720.1 5523: 2.70 1/s
780.1 5685: 2.69 1/s
840.2 5842: 2.62 1/s
900.2 5994: 2.54 1/s
960.2 6150: 2.61 1/s
1020.2 6306: 2.58 1/s
1080.2 6449: 2.40 1/s
1140.3 6583: 2.23 1/s
1200.3 6711: 2.12 1/s
1260.3 6835: 2.07 1/s
1320.4 6966: 2.18 1/s
1380.4 7087: 2.02 1/s
1440.4 7206: 1.98 1/s
1500.4 7327: 2.02 1/s
1560.5 7451: 2.07 1/s
1620.5 7578: 2.11 1/s
1680.5 7694: 1.93 1/s
1740.6 7802: 1.81 1/s
1800.6 7911: 1.81 1/s
1860.6 8017: 1.77 1/s
1920.6 8125: 1.80 1/s
1980.6 8230: 1.75 1/s
2040.7 8332: 1.70 1/s
2100.7 8434: 1.70 1/s
2160.7 8535: 1.70 1/s
2220.7 8639: 1.72 1/s
2280.7 8740: 1.69 1/s
2340.7 8842: 1.70 1/s
2400.7 8938: 1.60 1/s
2460.8 9033: 1.58 1/s
2520.8 9127: 1.57 1/s
2580.8 9219: 1.53 1/s
2640.9 9310: 1.52 1/s
2700.9 9403: 1.54 1/s
2760.9 9493: 1.51 1/s
2821.0 9585: 1.52 1/s
2881.0 9675: 1.51 1/s
2941.0 9766: 1.50 1/s
3001.1 9856: 1.50 1/s
3061.2 9946: 1.50 1/s
3121.2 10036: 1.50 1/s
3181.2 10126: 1.49 1/s
3241.3 10215: 1.49 1/s
3301.3 10304: 1.49 1/s
3361.3 10393: 1.47 1/s
3421.4 10482: 1.48 1/s
3481.4 10571: 1.48 1/s
3541.5 10659: 1.47 1/s
3601.5 10747: 1.47 1/s
3661.5 10835: 1.47 1/s
3721.5 10924: 1.47 1/s
3781.6 11012: 1.47 1/s
3841.6 11098: 1.44 1/s
3901.7 11185: 1.45 1/s
3961.7 11272: 1.44 1/s
4021.7 11358: 1.44 1/s
4081.8 11445: 1.44 1/s
4141.9 11532: 1.45 1/s
4201.9 11618: 1.43 1/s
4261.9 11704: 1.43 1/s
4322.0 11789: 1.42 1/s
4382.0 11875: 1.44 1/s
4442.2 11960: 1.41 1/s
4502.3 12046: 1.43 1/s
4562.3 12130: 1.40 1/s
4622.4 12215: 1.41 1/s
4682.4 12300: 1.41 1/s
4742.4 12383: 1.39 1/s
4802.4 12468: 1.41 1/s
4862.4 12552: 1.41 1/s
4922.5 12637: 1.40 1/s
4982.5 12720: 1.39 1/s
5042.6 12804: 1.39 1/s
5102.6 12886: 1.38 1/s
5162.7 12969: 1.38 1/s
5222.7 13053: 1.39 1/s
5282.8 13136: 1.38 1/s
5342.8 13219: 1.38 1/s
5402.8 13301: 1.37 1/s
5462.9 13384: 1.37 1/s
5522.9 13466: 1.37 1/s
5583.0 13549: 1.38 1/s
5643.0 13631: 1.37 1/s
5703.0 13714: 1.39 1/s
5763.0 13797: 1.38 1/s
5823.0 13879: 1.37 1/s
5883.1 13960: 1.35 1/s
5943.1 14042: 1.36 1/s
6003.2 14124: 1.36 1/s
