/root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:5M_endTime:28800_warmup:18000_Events1.interval:3_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:1_MessageStatsReport.txt does not exist. Simulating...
Setting values: {'Group.router': 'EpidemicRouter', 'Group.bufferSize': '1000G', 'Group.msgTtl': '400', 'Events1.size': '5M', 'MovementModel.warmup': '18000', 'Scenario.endTime': '28800', 'Events1.interval': '3', 'Scenario.updateInterval': '0.1', 'ProphetV2Router.beta': '0.9', 'ProphetV2Router.gamma': '0.999885791', 'btInterface.transmitSpeed': '5M', 'btInterface.transmitRange': '80', 'MovementModel.rngSeed': '1'}
['./one.sh', '-b', '1', 'helsinki1True_settings.txt']
Percent: 1/12
Run 1/1
11 in line defined by file data/helsinki1True/1_schedule.csv
10 in line defined by file data/helsinki1True/2_schedule.csv
10 in line defined by file data/helsinki1True/3_schedule.csv
16 in line defined by file data/helsinki1True/4_schedule.csv
15 in line defined by file data/helsinki1True/6T_schedule.csv
18 in line defined by file data/helsinki1True/7_schedule.csv
12 in line defined by file data/helsinki1True/8_schedule.csv
11 in line defined by file data/helsinki1True/9_schedule.csv
13 in line defined by file data/helsinki1True/10_schedule.csv
Running simulation 'helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:5M_endTime:28800_warmup:18000_Events1.interval:3_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:1'
60.0 2832: 47.19 1/s
120.0 3546: 11.91 1/s
180.0 4010: 7.73 1/s
240.0 4380: 6.17 1/s
300.0 4714: 5.56 1/s
360.1 4997: 4.71 1/s
420.1 5263: 4.44 1/s
480.1 5495: 3.86 1/s
540.1 5717: 3.69 1/s
600.1 5932: 3.59 1/s
660.2 6129: 3.28 1/s
720.2 6324: 3.24 1/s
780.2 6504: 3.00 1/s
840.3 6686: 3.03 1/s
900.3 6863: 2.94 1/s
960.3 7038: 2.93 1/s
1020.3 7201: 2.70 1/s
1080.4 7362: 2.69 1/s
1140.4 7528: 2.76 1/s
1200.4 7683: 2.59 1/s
1260.4 7829: 2.43 1/s
1320.4 7980: 2.53 1/s
1380.5 8118: 2.29 1/s
1440.5 8254: 2.27 1/s
1500.6 8396: 2.36 1/s
1560.6 8537: 2.36 1/s
1620.6 8681: 2.40 1/s
1680.6 8822: 2.35 1/s
1740.7 8956: 2.22 1/s
1800.7 9087: 2.19 1/s
1860.7 9214: 2.12 1/s
1920.8 9339: 2.08 1/s
1980.8 9466: 2.10 1/s
2040.8 9591: 2.09 1/s
2100.8 9716: 2.09 1/s
2160.9 9842: 2.10 1/s
2220.9 9968: 2.09 1/s
2281.0 10092: 2.07 1/s
2341.0 10217: 2.08 1/s
2401.0 10343: 2.09 1/s
2461.1 10469: 2.10 1/s
2521.1 10594: 2.09 1/s
2581.1 10720: 2.10 1/s
2641.1 10847: 2.12 1/s
2701.1 10972: 2.08 1/s
2761.1 11096: 2.05 1/s
2821.1 11220: 2.07 1/s
2881.2 11344: 2.07 1/s
2941.2 11469: 2.08 1/s
3001.2 11592: 2.05 1/s
3061.2 11716: 2.07 1/s
3121.2 11839: 2.05 1/s
3181.3 11962: 2.04 1/s
3241.3 12084: 2.04 1/s
3301.3 12207: 2.04 1/s
