/root/the-one-transit/reports/helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:200_Events1.size:1M_endTime:28800_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:2_MessageStatsReport.txt does not exist. Simulating...
Setting values: {'Group.router': 'EpidemicRouter', 'Group.bufferSize': '1000G', 'Group.msgTtl': '200', 'Events1.size': '1M', 'MovementModel.warmup': '18000', 'Scenario.endTime': '28800', 'Events1.interval': '5', 'Scenario.updateInterval': '0.1', 'ProphetV2Router.beta': '0.9', 'ProphetV2Router.gamma': '0.999885791', 'btInterface.transmitSpeed': '5M', 'btInterface.transmitRange': '80', 'MovementModel.rngSeed': '2'}
['./one.sh', '-b', '1', 'helsinki1True_settings.txt']
Percent: 1/144
Run 1/1
11 in line defined by file data/helsinki1True/1_schedule.csv
10 in line defined by file data/helsinki1True/2_schedule.csv
10 in line defined by file data/helsinki1True/3_schedule.csv
16 in line defined by file data/helsinki1True/4_schedule.csv
15 in line defined by file data/helsinki1True/6T_schedule.csv
18 in line defined by file data/helsinki1True/7_schedule.csv
12 in line defined by file data/helsinki1True/8_schedule.csv
11 in line defined by file data/helsinki1True/9_schedule.csv
13 in line defined by file data/helsinki1True/10_schedule.csv
Running simulation 'helsinki1True_router:EpidemicRouter_bSize:1000G_Ttl:200_Events1.size:1M_endTime:28800_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:2'
60.0 2316: 38.60 1/s
120.0 2755: 7.32 1/s
180.0 3030: 4.58 1/s
240.0 3236: 3.44 1/s
300.0 3424: 3.14 1/s
360.2 3602: 2.96 1/s
421.3 3738: 2.22 1/s
481.3 3862: 2.06 1/s
541.4 3991: 2.15 1/s
601.4 4106: 1.93 1/s
661.4 4229: 2.04 1/s
721.5 4355: 2.10 1/s
781.5 4481: 2.10 1/s
841.5 4600: 1.98 1/s
901.5 4716: 1.93 1/s
961.6 4828: 1.86 1/s
1021.6 4931: 1.73 1/s
1081.6 5034: 1.70 1/s
1141.6 5132: 1.63 1/s
1201.7 5230: 1.65 1/s
1261.7 5324: 1.57 1/s
1321.7 5420: 1.59 1/s
1381.7 5508: 1.47 1/s
1441.9 5600: 1.53 1/s
1501.9 5689: 1.49 1/s
1561.9 5775: 1.43 1/s
1621.9 5862: 1.44 1/s
1681.9 5943: 1.35 1/s
1742.0 6026: 1.38 1/s
1802.0 6107: 1.35 1/s
1862.0 6182: 1.25 1/s
1922.1 6255: 1.23 1/s
1982.1 6330: 1.24 1/s
2042.2 6405: 1.25 1/s
2102.2 6476: 1.18 1/s
2162.3 6549: 1.21 1/s
2222.3 6622: 1.21 1/s
2282.3 6696: 1.24 1/s
2342.5 6765: 1.15 1/s
2402.6 6837: 1.21 1/s
2462.6 6909: 1.19 1/s
2522.6 6983: 1.24 1/s
2582.6 7055: 1.20 1/s
2642.7 7125: 1.17 1/s
2702.8 7194: 1.14 1/s
2762.8 7264: 1.17 1/s
2822.8 7330: 1.10 1/s
2882.8 7395: 1.09 1/s
2942.9 7461: 1.10 1/s
3003.0 7528: 1.11 1/s
3063.0 7592: 1.07 1/s
3123.0 7659: 1.11 1/s
3183.0 7724: 1.08 1/s
3243.1 7788: 1.06 1/s
3303.1 7852: 1.08 1/s
3363.1 7915: 1.04 1/s
3423.2 7975: 1.00 1/s
3483.3 8037: 1.04 1/s
3543.4 8094: 0.95 1/s
3603.5 8159: 1.08 1/s
3663.6 8222: 1.05 1/s
3723.6 8286: 1.06 1/s
3783.7 8345: 0.99 1/s
3843.7 8409: 1.06 1/s
3903.8 8472: 1.06 1/s
3963.9 8534: 1.02 1/s
4023.9 8599: 1.08 1/s
4083.9 8661: 1.04 1/s
4144.0 8722: 1.02 1/s
4204.1 8787: 1.07 1/s
4264.1 8849: 1.04 1/s
4324.1 8911: 1.03 1/s
4384.2 8972: 1.03 1/s
4444.2 9036: 1.05 1/s
4504.3 9098: 1.04 1/s
4564.4 9162: 1.06 1/s
4624.4 9220: 0.96 1/s
4684.6 9280: 1.00 1/s
4744.6 9339: 0.99 1/s
4804.7 9400: 1.01 1/s
4864.7 9461: 1.01 1/s
4924.8 9523: 1.04 1/s
4984.9 9583: 1.01 1/s
5044.9 9644: 1.01 1/s
5105.0 9705: 1.02 1/s
5165.0 9766: 1.01 1/s
5225.1 9825: 0.98 1/s
5285.2 9886: 1.03 1/s
5345.2 9948: 1.03 1/s
5405.3 10010: 1.02 1/s
5465.4 10072: 1.03 1/s
5525.4 10133: 1.02 1/s
5585.4 10195: 1.03 1/s
5645.5 10257: 1.04 1/s
5705.5 10319: 1.03 1/s
5765.5 10382: 1.05 1/s
5825.6 10444: 1.03 1/s
5885.7 10507: 1.04 1/s
5945.8 10568: 1.03 1/s
6005.8 10631: 1.05 1/s
6065.9 10693: 1.03 1/s
6125.9 10754: 1.02 1/s
6185.9 10817: 1.04 1/s
6246.0 10878: 1.02 1/s
6306.0 10941: 1.05 1/s
6366.1 11002: 1.02 1/s
6426.1 11063: 1.02 1/s
6486.2 11125: 1.02 1/s
6546.2 11187: 1.03 1/s
6606.2 11239: 0.88 1/s
6666.3 11298: 0.97 1/s
6726.3 11357: 0.99 1/s
6786.3 11414: 0.95 1/s
6846.3 11474: 1.00 1/s
6906.4 11535: 1.01 1/s
6966.4 11596: 1.02 1/s
7026.5 11657: 1.02 1/s
7086.5 11718: 1.01 1/s
7146.5 11778: 1.00 1/s
7206.6 11840: 1.04 1/s
7266.6 11901: 1.01 1/s
7326.7 11962: 1.02 1/s
7386.7 12024: 1.02 1/s
7446.8 12084: 1.00 1/s
7506.9 12146: 1.03 1/s
7566.9 12208: 1.03 1/s
7627.0 12267: 0.99 1/s
7687.1 12330: 1.04 1/s
7747.1 12394: 1.07 1/s
7807.1 12458: 1.07 1/s
7867.2 12524: 1.10 1/s
7927.2 12590: 1.09 1/s
7987.2 12656: 1.09 1/s
8047.3 12725: 1.15 1/s
8107.3 12793: 1.13 1/s
8167.3 12862: 1.15 1/s
8227.4 12931: 1.15 1/s
8287.4 13002: 1.19 1/s
8347.5 13075: 1.20 1/s
8407.5 13147: 1.21 1/s
8467.5 13221: 1.23 1/s
8527.5 13294: 1.22 1/s
8587.6 13372: 1.29 1/s
8647.6 13450: 1.30 1/s
8707.7 13530: 1.34 1/s
8767.7 13612: 1.36 1/s
8827.7 13694: 1.37 1/s
8887.7 13779: 1.42 1/s
8947.8 13864: 1.41 1/s
9007.8 13953: 1.49 1/s
9067.8 14041: 1.48 1/s
9127.8 14133: 1.53 1/s
9187.9 14226: 1.54 1/s
9247.9 14321: 1.58 1/s
9307.9 14421: 1.68 1/s
9367.9 14521: 1.66 1/s
9428.0 14626: 1.74 1/s
9488.0 14731: 1.75 1/s
9548.0 14842: 1.84 1/s
9608.1 14953: 1.86 1/s
9668.1 15068: 1.92 1/s
9728.1 15187: 1.98 1/s
9788.1 15311: 2.07 1/s
9848.1 15440: 2.14 1/s
9908.2 15573: 2.23 1/s
9968.2 15714: 2.34 1/s
10028.2 15864: 2.51 1/s
10088.2 16020: 2.59 1/s
10148.2 16187: 2.78 1/s
10208.2 16363: 2.94 1/s
10268.2 16553: 3.17 1/s
10328.3 16764: 3.51 1/s
10388.3 16984: 3.67 1/s
10448.3 17241: 4.28 1/s
10508.3 17528: 4.78 1/s
10568.3 17865: 5.61 1/s
